INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	SEX	SEX_DESC	ICT_SKILL	ICT_SKILL_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	7.21477	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	17.31231	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	16.19894	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	ARSP	Using basic arithmetic formula in a spreadsheet	9.40813	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__ARSP	Both sexes or no breakdown by sex, using basic arithmetic formula in a spreadsheet	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	21.45077	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	2017	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	45.11667	PT	Percent	C	Country Data	G	Global		Servei d'studis - Ministeri de Finances	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	2017	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	59.58742	PT	Percent	C	Country Data	G	Global		Servei d'studis - Ministeri de Finances	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	2017	_T	Both sexes or no breakdown by sex	SOFT	Finding, downloading, installing and configuring software	52.79506	PT	Percent	C	Country Data	G	Global		Servei d'studis - Ministeri de Finances	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__SOFT	Both sexes or no breakdown by sex, finding, downloading, installing and configuring software	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	2017	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	5.97734	PT	Percent	C	Country Data	G	Global		Servei d'studis - Ministeri de Finances	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	2017	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	67.28272	PT	Percent	C	Country Data	G	Global		Servei d'studis - Ministeri de Finances	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2014	2014	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	5.66787	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	5.78171	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	5.73798	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	2017	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	6.43609	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	6.35857	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2019	2019	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	6.65152	PT	Percent	C	Country Data	G	Global		State Statistical Committee	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2014	2014	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	3.57971	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	3.6516	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	3.62619	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	2017	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	4.06984	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	4.02565	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2019	2019	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	4.20607	PT	Percent	C	Country Data	G	Global		State Statistical Committee	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2014	2014	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	12.52898	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	12.78062	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	12.68611	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	2017	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	14.23509	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	14.05664	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2019	2019	_T	Both sexes or no breakdown by sex	INST	Connecting and installing new devices	14.71158	PT	Percent	C	Country Data	G	Global		State Statistical Committee	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__INST	Both sexes or no breakdown by sex, connecting and installing new devices	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2014	2014	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	0.59662	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	0.6086	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	0.60407	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	2017	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	0.68645	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	0.68644	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2014	2014	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	58.46859	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	59.6429	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	59.19181	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	2017	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	66.39264	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	False
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	65.5669	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	True
