INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	156	China	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	104.1403375	32.30955217	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2010]	2010	2010	1	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	344	China, Hong Kong Special Administrative Region	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2006, 2008, 2009, 2010, 2011, 2014, 2015]	2006	2015	7	1	4
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	446	China, Macao Special Administrative Region	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	113.5665388	22.1237259		4	Country or Area	Eastern and South-Eastern Asia	[2001, 2006, 2011]	2001	2011	3	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	360	Indonesia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	113.9174	-0.994582204	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2006, 2007, 2008, 2009, 2011, 2014, 2015]	2006	2015	7	1	3
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	392	Japan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	139.2716103	36.6554539	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2010]	2010	2010	1	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	458	Malaysia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	116.8346314	5.452415309	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000]	2000	2000	1	0	0
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	496	Mongolia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	103.0728057	46.83892054	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2010]	2000	2010	2	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	608	Philippines	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	120.8601418	14.16591706	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2008, 2010, 2013]	2000	2013	4	0	2
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	410	Republic of Korea	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	127.8610254	36.45201023	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2005, 2009, 2010]	2000	2010	4	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	702	Singapore	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	103.8107883	1.361009155	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2005	2015	11	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	764	Thailand	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	101.0202951	15.13089239	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2004, 2006, 2010, 2013, 2016]	2004	2016	5	1	3
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	704	Viet Nam	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	105.802499	10.09643079	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2009]	2009	2009	1	0	0
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	8	Albania	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2001, 2008, 2011, 2012]	2001	2012	4	0	2
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	20	Andorra	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2003, 2004, 2005, 2006, 2014, 2015]	2003	2015	6	1	2
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	40	Austria	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2005	2015	10	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	112	Belarus	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2009]	2009	2009	1	0	0
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	56	Belgium	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2006	2015	9	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	60	Bermuda	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	-64.78155012	32.27881922		4	Country or Area	Europe and Northern America	[2000, 2010]	2000	2010	2	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	70	Bosnia and Herzegovina	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2010, 2011, 2014, 2015]	2010	2015	4	1	4
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	100	Bulgaria	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2001, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2001	2015	11	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	124	Canada	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[2001, 2006, 2011]	2001	2011	3	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	191	Croatia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2001, 2011]	2001	2011	2	0	1
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	208	Denmark	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	9.326571283	56.03829721	1.0	4	Country or Area	Europe and Northern America	[2003, 2004, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2003	2015	11	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	233	Estonia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	25.84093481	58.68487172	1.0	4	Country or Area	Europe and Northern America	[2000, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	10	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	246	Finland	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	23.308447	61.91586738	1.0	4	Country or Area	Europe and Northern America	[2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	2003	2014	11	0	5
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	250	France	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2004	2015	11	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	276	Germany	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2004	2015	12	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	300	Greece	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	22.58307827	39.47301873	1.0	4	Country or Area	Europe and Northern America	[2005, 2006, 2007, 2008, 2010, 2014, 2015]	2005	2015	7	1	3
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	304	Greenland	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	-41.39371316	74.75625681		4	Country or Area	Europe and Northern America	[2012, 2014, 2015]	2012	2015	3	1	3
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	348	Hungary	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	19.41221519	47.1651448	1.0	4	Country or Area	Europe and Northern America	[2001, 2005, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2001	2015	9	1	6
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	352	Iceland	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	-19.02116966	64.79134763	1.0	4	Country or Area	Europe and Northern America	[2005]	2005	2005	1	0	0
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	372	Ireland	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	-7.121425272	53.25274054	1.0	4	Country or Area	Europe and Northern America	[2007, 2010, 2011]	2007	2011	3	0	2
