INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	144	Sri Lanka	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	LKA	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[1971, 2001]	1971	2001	2	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	762	Tajikistan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	TJK	69.294998	38.43069666	1.0	4	Country or Area	Central and Southern Asia	[2000]	2000	2000	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	795	Turkmenistan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	TKM	58.9787665	40.0912346	1.0	4	Country or Area	Central and Southern Asia	[1995]	1995	1995	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	860	Uzbekistan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	UZB	63.11944558	41.77560518	1.0	4	Country or Area	Central and Southern Asia	[2013, 2014, 2015]	2013	2015	3	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	116	Cambodia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	KHM	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2007, 2008, 2009]	2007	2009	3	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	156	China	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	CHN	104.1403375	32.30955217	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1982]	1982	1982	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	344	China, Hong Kong Special Administrative Region	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[1971, 1981, 2006, 2008, 2009, 2010, 2011, 2014, 2015]	1971	2015	9	1	4
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	446	China, Macao Special Administrative Region	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	MAC	113.5665388	22.1237259		4	Country or Area	Eastern and South-Eastern Asia	[1991, 2001, 2006, 2011]	1991	2011	4	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	360	Indonesia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	IDN	113.9174	-0.994582204	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1971, 1980, 2006, 2007, 2008, 2009, 2011, 2014, 2015]	1971	2015	9	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	392	Japan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	JPN	139.2716103	36.6554539	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1970, 1980, 2010]	1970	2010	3	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	458	Malaysia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	MYS	116.8346314	5.452415309	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1980, 1996, 2000, 2005, 2009, 2010]	1980	2010	6	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	496	Mongolia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	MNG	103.0728057	46.83892054	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2010]	2000	2010	2	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	608	Philippines	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	PHL	120.8601418	14.16591706	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1970, 1975, 1980, 1990, 2000, 2004, 2010, 2013]	1970	2013	8	0	2
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	410	Republic of Korea	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	KOR	127.8610254	36.45201023	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1970, 1985, 1990, 1995, 2000, 2005, 2009, 2010]	1970	2010	8	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	702	Singapore	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	SGP	103.8107883	1.361009155	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1995, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	1995	2015	12	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	764	Thailand	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	THA	101.0202951	15.13089239	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1980, 2004, 2006, 2010, 2013, 2016]	1980	2016	6	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	704	Viet Nam	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	VNM	105.802499	10.09643079	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1979]	1979	1979	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	8	Albania	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2001, 2008, 2011, 2012]	2001	2012	4	0	2
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	20	Andorra	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	AND	1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2006, 2014, 2015]	2006	2015	3	1	2
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	112	Belarus	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BLR	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2009]	2009	2009	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	56	Belgium	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[1970, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	1970	2015	10	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	60	Bermuda	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BMU	-64.78155012	32.27881922		4	Country or Area	Europe and Northern America	[2000]	2000	2000	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	70	Bosnia and Herzegovina	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BIH	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2010, 2011, 2014, 2015]	2010	2015	4	1	4
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	100	Bulgaria	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BGR	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[1992, 2001]	1992	2001	2	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	124	Canada	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	CAN	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[1970, 1976, 1981, 1986, 1991]	1970	1991	5	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	191	Croatia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	HRV	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2001, 2011]	2001	2011	2	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	208	Denmark	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	DNK	9.326571283	56.03829721	1.0	4	Country or Area	Europe and Northern America	[2003, 2004, 2008]	2003	2008	3	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	250	France	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	FRA	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[1990, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	1990	2015	12	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	276	Germany	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	DEU	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2004	2015	12	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	300	Greece	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	GRC	22.58307827	39.47301873	1.0	4	Country or Area	Europe and Northern America	[1981, 1991, 2005, 2006, 2007, 2008, 2010, 2014, 2015]	1981	2015	9	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	304	Greenland	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	GRL	-41.39371316	74.75625681		4	Country or Area	Europe and Northern America	[2012, 2014, 2015]	2012	2015	3	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	348	Hungary	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	HUN	19.41221519	47.1651448	1.0	4	Country or Area	Europe and Northern America	[1970, 1980, 2001, 2005, 2013, 2014, 2015]	1970	2015	7	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	380	Italy	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	ITA	12.57022427	42.79917282	1.0	4	Country or Area	Europe and Northern America	[1971, 2001, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015]	1971	2015	12	1	5
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	428	Latvia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	LVA	26.42461876	56.64196636	1.0	4	Country or Area	Europe and Northern America	[1989, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	1989	2015	13	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	438	Liechtenstein	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	LIE	9.552985019	47.14167005	1.0	4	Country or Area	Europe and Northern America	[2000]	2000	2000	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	440	Lithuania	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	LTU	23.90517807	55.33680309	1.0	4	Country or Area	Europe and Northern America	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2005	2015	11	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	442	Luxembourg	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	LUX	6.092656563	49.77679538	1.0	4	Country or Area	Europe and Northern America	[2001, 2003, 2007]	2001	2007	3	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	470	Malta	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	MLT	14.44617519	35.89194275	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2007, 2010, 2011, 2012, 2013, 2014, 2015]	2000	2015	9	1	6
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	528	Netherlands	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	NLD	5.331480568	51.86728884	1.0	4	Country or Area	Europe and Northern America	[2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]	2004	2015	11	1	6
