INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	URBANIZATION	URBANIZATION_DESC	INCOME_WEALTH_QUANTILE	INCOME_WEALTH_QUANTILE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	8	Albania	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2009, 2017]	2000	2017	4	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	8	Albania	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2009, 2017]	2000	2017	4	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	12	Algeria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	12	Algeria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	12	Algeria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q2	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 2	4500	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	12	Algeria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q4	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 4	4500	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	12	Algeria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q1	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 1 (poorest)	4500	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	12	Algeria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	24	Angola	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q2	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 2	4500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2015]	2015	2015	1	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	24	Angola	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2015]	2015	2015	1	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	24	Angola	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2015]	2015	2015	1	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	24	Angola	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2015]	2015	2015	1	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	24	Angola	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q4	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 4	4500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2015]	2015	2015	1	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	24	Angola	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q1	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 1 (poorest)	4500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2015]	2015	2015	1	1	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	32	Argentina	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	ARG	-65.14563274	-35.19446255	1.0	4	Country or Area	Latin America and the Caribbean	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	51	Armenia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2006, 2011, 2016]	2000	2016	4	1	2
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	51	Armenia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q4	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 4	4500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2006, 2011, 2016]	2006	2016	3	1	2
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	51	Armenia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2006, 2011, 2016]	2006	2016	3	1	2
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	51	Armenia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q2	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 2	4500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2006, 2011, 2016]	2006	2016	3	1	2
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	51	Armenia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2006, 2011, 2016]	2006	2016	3	1	2
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	51	Armenia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q1	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 1 (poorest)	4500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2006, 2011, 2016]	2006	2016	3	1	2
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	36	Australia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q1	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 1 (poorest)	4500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	36	Australia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q2	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 2	4500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	36	Australia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	36	Australia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	36	Australia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	36	Australia	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q4	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 4	4500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010]	2010	2010	1	0	1
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	40	Austria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2011, 2013, 2014]	2005	2014	4	0	3
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	40	Austria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2011, 2013, 2014]	2005	2014	4	0	3
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	40	Austria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2011, 2013, 2014]	2005	2014	4	0	3
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	40	Austria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q2	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 2	4500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2011, 2013, 2014]	2005	2014	4	0	3
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	40	Austria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q4	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 4	4500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2011, 2013, 2014]	2005	2014	4	0	3
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	40	Austria	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q1	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 1 (poorest)	4500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2005, 2011, 2013, 2014]	2005	2014	4	0	3
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	31	Azerbaijan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q3	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 3	4500	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2006]	2000	2006	2	0	0
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	31	Azerbaijan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q1	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 1 (poorest)	4500	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2006]	2000	2006	2	0	0
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	31	Azerbaijan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T___T	Both sexes or no breakdown by sex, lower secondary education, all areas, total (national average) or no breakdown	4500	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2006]	2000	2006	2	0	0
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	31	Azerbaijan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q2	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 2	4500	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2006]	2000	2006	2	0	0
II.6	I66c21045	Completion rate (lower secondary education)	Sa7501ddf	Completion rate, by sex, location and wealth quintile, lower secondary education	31	Azerbaijan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_2___T__Q5	Both sexes or no breakdown by sex, lower secondary education, all areas, quintile 5 (richest)	4500	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2006]	2000	2006	2	0	0
