INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	N_countries	N_countries_lag10	N_countries_lag5	N_countries_sex	N_countries_age
14	Proportion of employed working part-time, by sex	10	Proportion of employed working part-time, by sex	138	133	102	138	0
17	Proportion of individuals using the Internet, by sex	11	Proportion of individuals using the Internet, by sex	88	88	0	82	0
18	Proportion of individuals who own a mobile telephone, by sex	12	Proportion of individuals who own a mobile telephone, by sex	68	68	63	58	0
20	Youth literacy rate of persons aged 15-24 years, by sex	13	Youth literacy rate of persons (15-24 years), by sex	162	122	37	162	0
21	Adjusted net enrolment rate in primary education by sex	14	Adjusted net enrolment rate in primary education by sex	195	178	142	189	0
22	Gross enrolment ratio in secondary education, by sex	15	Gross enrolment ratio in secondary education, by sex	202	181	152	200	0
23	Gross enrolment ratio in tertiary education, by sex	16	Gross enrolment ratio in tertiary education, by sex	202	167	128	200	0
24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	201	191	167	0	0
24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	18	Gender parity index of the gross enrolment ratios in secondary education	200	179	150	0	0
24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	19	Gender parity index of the gross enrolment ratios in tertiary education	200	165	125	0	0
25	Share of female science, technology, engineering and mathematics graduates at tertiary level	55	Share of female science, technology, engineering and mathematics graduates at tertiary level	150	121	102	0	0
26	Proportion of females among tertiary education teachers or professors	56	Proportion of females among tertiary education teachers or professors	196	146	106	0	0
27	Adjusted net intake rate to the first grade of primary education, by sex	20	Adjusted net intake rate to the first grade of primary education, by sex	194	175	139	194	0
28	Primary education completion rate (proxy), by sex	21	Primary education completion rate (proxy), by sex	195	177	144	193	0
29	Gross graduation ratio from lower secondary education, by sex	22	Gross graduation ratio from lower secondary education, by sex	173	170	143	168	0
30	Effective transition rate from primary to secondary education (general programmes), by sex	23	Effective transition rate from primary to secondary education (general programmes), by sex	192	160	88	190	0
31	Educational attainment of the population aged 25 and older by sex	46	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	182	117	55	181	0
31	Educational attainment of the population aged 25 and older by sex	50	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	178	115	52	177	0
31	Educational attainment of the population aged 25 and older by sex	54	Educational attainment (minimum primary) of the population aged 25 and older, by sex	158	107	52	158	0
31	Educational attainment of the population aged 25 and older by sex	51	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	158	118	55	158	0
31	Educational attainment of the population aged 25 and older by sex	48	Educational attainment (minimum upper secondary) of the population aged 25 and older, by sex	170	120	58	169	0
32	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	25	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	151	136	75	0	0
32	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	91	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	185	185	185	0	0
33	Under-five mortality rate, by sex	26	Under-five mortality rate, by sex	232	232	232	232	0
34	Maternal mortality ratio	27	Maternal mortality ratio	183	183	183	0	0
35	Antenatal care coverage	28	Antenatal care coverage, at least one visit	166	121	49	0	0
35	Antenatal care coverage	29	Antenatal care coverage, at least four visits	148	128	48	0	0
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	206	195	145	0	0
37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	170	170	170	168	0
38	Proportion of adults who are obese, by sex	32	Proportion of adults who are obese, by sex	191	191	191	191	0
39	Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations	33	Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations	150	150	150	147	148
40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	135	135	134	135	0
41	Life expectancy at age 60, by sex	35	Life expectancy at age 60, by sex	199	199	199	199	0
42	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, by sex	42	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, by sex	206	206	206	206	0
43	Women’s share of government ministerial positions	36	Women’s share of government ministerial positions	195	194	192	0	0
44	Proportion of seats held by women in national parliament and local governments	37	Proportion of seats held by women in national parliament	231	230	230	0	0
45	Proportion of women in managerial positions	38	Proportion of women in managerial positions	178	160	133	0	0
45	Proportion of women in managerial positions	90	Proportion of women in senior and middle management positions	89	85	66	0	0
46	Share of female police officers	75	Share of female police officers	104	101	65	0	0
47	Share of female judges	76	Share of female judges	93	92	67	0	0
48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	126	108	48	0	67
49	Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence	78	Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months by age and place of occurrence	66	40	0	0	0
50	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	39	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting by age	31	28	15	0	0
51	Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18	40	Proportion of women aged 20-24 years who were married or in a union before age 18	139	125	56	0	0
51	Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18	89	Proportion of women aged 20-24 years who were married or in a union before age 15	139	125	56	0	0
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	241	213	148	0	0
63	Whether or not inheritance rights discriminate against women and girls	95	Whether or not inheritance rights discriminate against widows	186	186	186	0	0
63	Whether or not inheritance rights discriminate against women and girls	96	Whether or not inheritance rights discriminate against daughters	186	186	186	0	0
64	Legal minimum age at marriage by sex	98	Minimum age for legal marriage - With parental consent	125	125	125	125	0
64	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	125	125	125	125	0
54	Extent of country commitment to gender equality in employment	57	Whether or not ratified ILO convention 100 on equal remuneration for women and men	173	6	2	0	0
54	Extent of country commitment to gender equality in employment	58	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	175	6	3	0	0
55	Extent of country commitment to support reconciliation of work and family life	59	Whether or not ratified ILO convention 156 on workers with familiy responsibilities	44	4	1	0	0
55	Extent of country commitment to support reconciliation of work and family life	60	Whether or not ratified ILO convention 175 on part-time work	17	6	3	0	0
55	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	10	4	0	0	0
55	Extent of country commitment to support reconciliation of work and family life	62	Whether or not ratified ILO convention 183 on maternity protection	34	17	5	0	0
56	Length of maternity leave	63	Length of maternity leave	185	185	185	0	0
57	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	185	185	185	0	0
58	Presence of a gender quota for parliament (reserved seats and legal candidate quotas)	65	Presence of a gender quota for parliament (reserved seats and legal candidate quotas)	125	125	125	0	0
59	Presence of a gender quota for parliament (voluntary party quotas)	66	Presence of a gender quota for parliament (voluntary party quotas)	191	191	191	0	0
60	Existence of law on gender statistics	67	Existence of law on gender statistics	192	192	192	0	0
61	Whether or not reservation to article 16 of CEDAW	99	CEDAW Status	194	194	194	0	0
61	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	117	117	117	0	0
61	Whether or not reservation to article 16 of CEDAW	101	Reservations to CEDAW - Compatibility with religious laws or traditional codes	31	31	31	0	0
61	Whether or not reservation to article 16 of CEDAW	102	Reservations to CEDAW - Elimination of discrimination	26	26	26	0	0
61	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	39	39	39	0	0
61	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	16	16	16	0	0
61	Whether or not reservation to article 16 of CEDAW	104	Reservations to CEDAW - Equality of nationality	29	29	29	0	0
61	Whether or not reservation to article 16 of CEDAW	105	Reservations to CEDAW - Equality to choose residence	17	17	17	0	0
61	Whether or not reservation to article 16 of CEDAW	107	Reservations to CEDAW - Other concerns	28	28	28	0	0
62	Existence of laws on domestic violence	92	Existence of laws on domestic violence	167	167	167	0	0
62	Existence of laws on domestic violence	93	Existence of laws on marital rape	166	166	166	0	0
62	Existence of laws on domestic violence	94	Existence of laws on sexual harassment	167	167	167	0	0
