INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC
42,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, by sex",42,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease, by sex"
43,Women’s share of government ministerial positions,36,Women’s share of government ministerial positions
44,Proportion of seats held by women in national parliament and local governments,37,Proportion of seats held by women in national parliament
45,Proportion of women in managerial positions,38,Proportion of women in managerial positions
45,Proportion of women in managerial positions,90,Proportion of women in senior and middle management positions
46,Share of female police officers,75,Share of female police officers
47,Share of female judges,76,Share of female judges
48,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",77,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
48,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",77,Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age
49,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",78,Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months by age and place of occurrence
50,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",39,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age"
50,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",39,Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting by age
51,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,40,Proportion of women aged 20-24 years who were married or in a union before age 18
51,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,89,Proportion of women aged 20-24 years who were married or in a union before age 15
52,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",41,Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group
63,Whether or not inheritance rights discriminate against women and girls,95,Whether or not inheritance rights discriminate against widows
63,Whether or not inheritance rights discriminate against women and girls,96,Whether or not inheritance rights discriminate against daughters
64,Legal minimum age at marriage by sex,98,Minimum age for legal marriage - With parental consent
64,Legal minimum age at marriage by sex,97,Minimum age for legal marriage - Without parental consent
54,Extent of country commitment to gender equality in employment,57,Whether or not ratified ILO convention 100 on equal remuneration for women and men
54,Extent of country commitment to gender equality in employment,58,Whether or not ratified ILO convention 111 on discrimination in employment and occupation
55,Extent of country commitment to support reconciliation of work and family life,59,Whether or not ratified ILO convention 156 on workers with familiy responsibilities
55,Extent of country commitment to support reconciliation of work and family life,60,Whether or not ratified ILO convention 175 on part-time work
55,Extent of country commitment to support reconciliation of work and family life,61,Whether or not ratified ILO convention 177 on home work
55,Extent of country commitment to support reconciliation of work and family life,62,Whether or not ratified ILO convention 183 on maternity protection
56,Length of maternity leave,63,Length of maternity leave
57,Percentage of wages paid during maternity leave,64,Percentage of wages paid during maternity leave
58,Presence of a gender quota for parliament (reserved seats and legal candidate quotas),65,Presence of a gender quota for parliament (reserved seats and legal candidate quotas)
59,Presence of a gender quota for parliament (voluntary party quotas),66,Presence of a gender quota for parliament (voluntary party quotas)
60,Existence of law on gender statistics,67,Existence of law on gender statistics
61,Whether or not reservation to article 16 of CEDAW,99,CEDAW Status
61,Whether or not reservation to article 16 of CEDAW,100,Optional Protocol
61,Whether or not reservation to article 16 of CEDAW,101,Reservations to CEDAW - Compatibility with religious laws or traditional codes
61,Whether or not reservation to article 16 of CEDAW,102,Reservations to CEDAW - Elimination of discrimination
61,Whether or not reservation to article 16 of CEDAW,106,Reservations to CEDAW - Equal rights in marriage and family
61,Whether or not reservation to article 16 of CEDAW,103,Reservations to CEDAW - Equality in employment
61,Whether or not reservation to article 16 of CEDAW,104,Reservations to CEDAW - Equality of nationality
61,Whether or not reservation to article 16 of CEDAW,105,Reservations to CEDAW - Equality to choose residence
61,Whether or not reservation to article 16 of CEDAW,107,Reservations to CEDAW - Other concerns
62,Existence of laws on domestic violence,92,Existence of laws on domestic violence
62,Existence of laws on domestic violence,93,Existence of laws on marital rape
62,Existence of laws on domestic violence,94,Existence of laws on sexual harassment
