INDICATOR_ID	MINSET_SERIES	METADATA_CATEGORY	METADATA_CATEGORY_DESC	METADATA_DESCRIPTION	METADATA_SOURCE
1	88	3	Method of computation	"Computation Method: 

Data presented for this indicator are expressed as the average number of hours spent in a day on unpaid domestic and care work. Weekly data are averaged over seven days of the week to obtain the daily average time. 

Average number of hours spent in a day on relevant activities = 

(Total number of hours spent by the population on relevant activities)/(Total population (regardless of whether they participated in the activity))

Average number of hours spent on unpaid domestic and care work derives from time use statistics that is collected through stand-alone time-use surveys or a time-use module in multi-purpose household surveys. Data on time-use may be summarized and presented as either (1) average time spent for participants (in a given activity) only or (2) average time spent for all population of a certain age (total relevant population). In the former type of averages, the total time spent by the individuals who performed an activity is divided by the number of persons who performed it (participants). In the latter type of averages, the total time is divided by the total relevant population (or a sub-group thereof), regardless of whether people performed the activity or not. 

_This indicator is calculated based on the average number of hours spent on unpaid domestic and unpaid care work for the total relevant population. This type of measures can be used to compare groups and assess changes over time. Differences among groups or over time may be due to a difference (or change) in the proportion of those participating in the specific activity or a difference (or change) in the amount of time spent by participants, or both. _

  Methods and guidance available to countries for the compilation of the data at the national level: 

International Classification of Activities for Time Use Statistics 2016: <https://unstats.un.org/unsd/demographic-social/time-use/icatus-2016/>

International Classification of Activities for Time Use Statistics 2016: <https://unstats.un.org/unsd/demographic-social/time-use/icatus-2016/>

Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work: [https://unstats.un.org/unsd/publication/SeriesF/SeriesF\_93E.pdf](https://unstats.un.org/unsd/publication/SeriesF/SeriesF_93E.pdf)

Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work: [https://unstats.un.org/unsd/publication/SeriesF/SeriesF\_93E.pdf](https://unstats.un.org/unsd/publication/SeriesF/SeriesF_93E.pdf)

System of National Accounts 2008 (SNA 2008): <https://unstats.un.org/unsd/nationalaccount/sna2008.asp>

System of National Accounts 2008 (SNA 2008): <https://unstats.un.org/unsd/nationalaccount/sna2008.asp>

The Resolution concerning statistics of work, employment and labour underutilization:

[http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS\_230304/lang--en/index.htm](http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm)

  Quality assurance 

UNSD has been reviewing in detail the survey methodology followed to collect time use data and the classification of activities used by countries, to assess the level of comparability across countries and over time in a given country. 

__Consultation/validation process with countries for adjustments and estimates__

Most of the data are provided and validated by national statistical offices. In some cases, data have been obtained from publicly available national databases and publications. UNSD communicates with countries if there are inconsistencies or possible errors in the data."	https://unstats.un.org/sdgs/metadata/
1	88	4	Importance of the indicator in addressing gender issues and its limitation	Time use statistics have been used for: (a) the measurement and analysis of quality of life or general well-being; (b) a more comprehensive measurement of all forms of work including unpaid and volunteer work; and (c) for the improvement of estimates on the production of goods and services with particular emphasis on increasing visibility of women’s work through better statistics on their contribution to the economy and the development of satellite accounts.International comparability of time-use statistics is limited by a number of factors including: (a) diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries respondents are asked to report on what activity they were performing when they started the day what activity followed and the time that activity began and ended and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period such as a day or week. Often stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are not comparable. (b) Time-use activity classification. Regional and national classifications of time-use activities may differ from the trial ICATUS resulting in data that are not comparable across countries. (c) Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. (d) The different age groups presented by countries for their data also makes time use data incomparable across countries.	Agency
1	88	5	Sources of discrepancies between global and national figures	"Sources of discrepancies: 

Do not apply"	https://unstats.un.org/sdgs/metadata/
1	88	7	Treatment of missing values	"Treatment of missing values: At country level: 

UNSD does not produce estimates for missing values"	https://unstats.un.org/sdgs/metadata/
1	88	8	Data availability and assessment of countries’ capacity		https://unstats.un.org/sdgs/metadata/
1	88	9	Expected time of release	"Data collection: 

Once national time use data become available, they are added to the UNSD database. 

  Data release: 

June 2019"	https://unstats.un.org/sdgs/metadata/
1	88	6	Process of obtaining data	"Description: 

Most data on time use are collected through dedicated time use surveys or from time-use modules integrated in multi-purpose household surveys, conducted at national level.

Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended (in most of the cases based on fixed intervals), and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or a week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection.

  Collection process: 

The official counterparts at the country level are the national statistical offices. Data are compiled and validated. If there are inconsistencies or issues with the data, UNSD consults the focal point in the national statistical office. The data for this indicator are, as much as possible, in line with relevant international standards, or properly footnoted. International standards include:

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization"	https://unstats.un.org/sdgs/metadata/
2	73	1	Contact point in international agency	United Nations Statistics Division, genderstat@un.org	Agency
2	73	2	International agreed definition	This indicator provides data for the total work burden of women and men (paid and unpaid). Paid work corresponds to the SNA production boundary and refers to work related activities in formal employment or informal employment, production of goods by households for income or for own final use, paid construction activities and construction for own capital formation and provision of services for income. those refers to work refers to the average time women and men spend on household provision of services for own consumption.  Unpaid work includes both the unpaid domestic work as well as on community or volunteer work. Domestic work includes food preparation, dishwashing, cleaning and upkeep of a dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household members, among others. Community or volunteer work includes volunteer services for organizations, unpaid community work, and informal help to other households, among other activities. Unpaid work are not included within the SNA production boundary but are inside the SNA General Production Boundary. As much as possible, data compiled here has been based on the trial International Classification of Activities for Time Use Statistics (ICATUS), according to which paid and unpaid work are delineated by the SNA production boundary.	Agency
2	73	3	Method of computation	Average number of hours spent on total work, paid and unpaid, derives from time use statistics that is collected through stand-alone time-use surveys or a time-use module in multi-purpose household surveys. Data on time-use may be summarized and presented as either (1) average time spent for participants only or (2) average time spent for all population of certain age. In the former type of averages, the total time spent by the individuals who performed an activity is divided by the number of persons who performed it (participants). In the latter type of averages, the total time is divided by the total relevant population (or a sub-group thereof), regardless of whether people performed the activity or not. All statistics presented in the Minimum Set on Gender Indicators on time spent in various activities are averages based on all total relevant population. This type of averages can be used to compare groups and assess changes over time. Differences among groups or over time may be due to a difference (or change) in the proportion of those participating in the specific activity or a difference (or change) in the amount of time spent by participants, or both.  Data presented for this indicator are expressed as an average per day. It is averaged over seven days of the week (weekdays and weekends are not differentiated). Thus, for paid work, a five-day work week averaging seven hours per day would show up as an average of five hours of paid work per day (35 hours divided by 7 days).	Agency
2	73	4	Importance of the indicator in addressing gender issues and its limitation	Time-use data in general can reveal the details of an individual’s “daily life with a combination of specificity and comprehensiveness”. Time spent on domestic/unpaid work assesses intra-household allocation of time. It can help analysis study the nature and extent of intra-household inequality and the impact of that inequality. Having information about the way time is allocated among the various members of a household helps policy makers understand which household members will be most directly affected by a policy modification.  International comparability of time-use statistics is limited by a number of factors, including: (a) diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended, and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are not comparable. (b) Time-use activity classification. Regional and national classifications of time-use activities may differ from the trial ICATUS, resulting in data that are not comparable across countries. (c) Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance, a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity, time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. (d) The different age groups used by countries for their data collection and compilation also makes time use data incomparable across countries.	Agency
2	73	5	Sources of discrepancies between global and national figures	Not applicable.	Agency
2	73	6	Process of obtaining data	Data are compiled based on statistics derived from stand-along time use surveys or from time-use modules integrated in multi-purpose household surveys, conducted at national level. For some countries, data are obtained from regional data compilations (Eurostat, OECD, UNECE and UNECLAC).	Agency
2	73	7	Treatment of missing values	None.	Agency
2	73	8	Data availability and assessment of countries’ capacity	Since 2005, 75 countries have collected time use statistics through a time-use survey or have included a time-use module in a multipurpose household survey. Time use statistics are available at international level for 67 of them. Between 2000 and 2009, data are available for 75 countries. Since 2010, data for 49 countries are available.	Agency
2	73	9	Expected time of release		Agency
3	1	1	Contact point in international agency	Data Production and Analysis Unit, Department of Statistics International Labour Organization (ILO) Telephone: +41 22 799 8631 Email: ilostat@ilo.org Website: www.ilo.org/ilostat	Agency
3	1	2	International agreed definition	The labour force participation rate is calculated as the labour force during a given reference period expressed as a percent of the working-age population in the same reference period. The labour force (formerly known as currently active population) comprises all persons of working age who furnish the supply of labour for the production of goods and services (as defined by the United Nations System of National Accounts (SNA) production boundary) during a specified time-reference period. It is measured in relation to a short reference period such as one week or one day. It refers to the sum of all persons of working age who are employed and those who are unemployed. For more detailed information, please refer to the Resolution concerning statistics of work, employment and labour underutilization, adopted by the Nineteenth International Conference of Labour Statisticians (October 2013): http://ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm	Agency
3	1	3	Method of computation	The labour force participation rate is calculated by expressing the number of persons in the labour force during a given reference period as a percentage of the working-age population in the same reference period. The labour force is the sum of the number of persons employed and the number of unemployed. The working-age population is the population above a certain age – ideally aged 15 and older – prescribed for the measurement of economic characteristics.	Agency
3	1	4	Importance of the indicator in addressing gender issues and its limitation	The indicator for labour force participation rate plays a central role in the study of the factors that determine the size and composition of a country’s human resources and in making projections of the future supply of labour. To some degree, the way in which the labour force is measured can have an effect on the extent to which men and women are included in labour force estimates. Unless specific probes are built into the data collection instrument, certain groups of workers may be underestimated – particularly the number of employed persons who (a) work for only a few hours in the reference period, especially if they do not do so regularly, (b) are in unpaid employment, or (c) work near or in their home, thus mixing work and personal activities during the day. Since women, more so than men, are found in these situations, it is to be expected that the number of women in employment (and thus the female labour force) will tend to be underestimated to a larger extent than the number of men.	Agency
3	1	5	Sources of discrepancies between global and national figures	Not applicable.	Agency
3	1	6	Process of obtaining data	Household labour force surveys are generally the most comprehensive and comparable sources for labour force statistics. Other possible sources include population censuses and official estimates. The ILO has made an intensive effort to assemble data on the indicators for as many countries, areas and territories as possible. Where there is no information for a country, it is usually because the country involved was not in a position to provide information for the indicator. Even when information for an indicator was available, it may not have been sufficiently current or may not have met other qualifications established for inclusion in the Key Indicators of the Labour Market, on which the information for participation rates is based. In compiling the KILM, the ILO concentrates on bringing together information from international repositories. In other words, the KILM team rarely collects information directly from national sources, but rather takes advantage of existing compilations held by various organizations, such as the following: International Labour Office (Department of Statistics ILOSTAT database), United Nations Statistics Division, Organisation for Economic Co-operation and Development (OECD), World Bank, United Nations Industrial Development Organization (UNIDO), Statistical Office of the European Union (EUROSTAT), United Nations Educational, Scientific and Cultural Organization (UNESCO), United States Bureau of Labor Statistics (BLS). Information maintained by these organizations has generally been obtained from national sources or is based on official national publications. Whenever information was available from more than one repository, the information and background documentation from each repository was reviewed in order to select the information most suitable for inclusion, based on an assessment of the general reliability of the sources, the availability of methodological information and explanatory notes regarding the scope of coverage, the availability of information by sex and age, and the degree of historical coverage. Occasionally, two data repositories have been chosen and presented for a single country, any resulting breaks in the historical series are duly noted. For countries with less-developed labour market information systems, such as those in some developing economies, information may not be easily available to policy-makers and the social partners, and even less so to international organizations seeking to compile global data sets. Many of these countries, however, do collect labour market information through household and establishment surveys, population censuses and administrative records, so that the main problem remains the communication of such information to the global community. In this situation, the ILO Labour Market Indicators Library (LMIL) programme can help. The LMIL is a system for sharing information between the ILO regional offices and headquarters. ILO regional offices are closer to the original micro-sources of data and have therefore been successful in filling in numerous gaps where data at headquarters – used in the production of the KILM – had not existed. It is an ongoing programme that continues to assist the KILM and other ILO publications and research programmes in the expansion of its country and yearly coverage of indicators. In principle, the data are not adjusted, as they are collected through a standard questionnaire, and reported in line with the international classifications. All departures from the international standard definitions and classifications are indicated in notes.	Agency
3	1	7	Treatment of missing values	None.	Agency
3	1	8	Data availability and assessment of countries’ capacity	Data are available for 219 economies for overall participation rates and 207 economies for youth participation rates. The lag between the reference year and actual production of data series is one year or more. Data are produced at least annually.	Agency
3	1	9	Expected time of release	Data are published every two years, usually in September, in the Key Indicators of the Labour Market report.	Agency
3	2	1	Contact point in international agency	Data Production and Analysis Unit, Department of Statistics International Labour Organization (ILO) Telephone: +41 22 799 8631 Email: ilostat@ilo.org Website: www.ilo.org/ilostat	Agency
3	2	2	International agreed definition	The labour force participation rate is calculated as the labour force during a given reference period expressed as a percent of the working-age population in the same reference period. The labour force (formerly known as currently active population) comprises all persons of working age who furnish the supply of labour for the production of goods and services (as defined by the United Nations System of National Accounts (SNA) production boundary) during a specified time-reference period. It is measured in relation to a short reference period such as one week or one day. It refers to the sum of all persons of working age who are employed and those who are unemployed. For more detailed information, please refer to the Resolution concerning statistics of work, employment and labour underutilization, adopted by the Nineteenth International Conference of Labour Statisticians (October 2013): http://ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm	Agency
3	2	3	Method of computation	The labour force participation rate is calculated by expressing the number of persons in the labour force during a given reference period as a percentage of the working-age population in the same reference period. The labour force is the sum of the number of persons employed and the number of unemployed. The working-age population is the population above a certain age – ideally aged 15 and older – prescribed for the measurement of economic characteristics.	Agency
3	2	4	Importance of the indicator in addressing gender issues and its limitation	The indicator for labour force participation rate plays a central role in the study of the factors that determine the size and composition of a country’s human resources and in making projections of the future supply of labour. To some degree, the way in which the labour force is measured can have an effect on the extent to which men and women are included in labour force estimates. Unless specific probes are built into the data collection instrument, certain groups of workers may be underestimated – particularly the number of employed persons who (a) work for only a few hours in the reference period, especially if they do not do so regularly, (b) are in unpaid employment, or (c) work near or in their home, thus mixing work and personal activities during the day. Since women, more so than men, are found in these situations, it is to be expected that the number of women in employment (and thus the female labour force) will tend to be underestimated to a larger extent than the number of men.	Agency
3	2	5	Sources of discrepancies between global and national figures	Not applicable.	Agency
3	2	6	Process of obtaining data	Household labour force surveys are generally the most comprehensive and comparable sources for labour force statistics. Other possible sources include population censuses and official estimates. The ILO has made an intensive effort to assemble data on the indicators for as many countries, areas and territories as possible. Where there is no information for a country, it is usually because the country involved was not in a position to provide information for the indicator. Even when information for an indicator was available, it may not have been sufficiently current or may not have met other qualifications established for inclusion in the Key Indicators of the Labour Market, on which the information for participation rates is based. In compiling the KILM, the ILO concentrates on bringing together information from international repositories. In other words, the KILM team rarely collects information directly from national sources, but rather takes advantage of existing compilations held by various organizations, such as the following: International Labour Office (Department of Statistics ILOSTAT database), United Nations Statistics Division, Organisation for Economic Co-operation and Development (OECD), World Bank, United Nations Industrial Development Organization (UNIDO), Statistical Office of the European Union (EUROSTAT), United Nations Educational, Scientific and Cultural Organization (UNESCO), United States Bureau of Labor Statistics (BLS). Information maintained by these organizations has generally been obtained from national sources or is based on official national publications. Whenever information was available from more than one repository, the information and background documentation from each repository was reviewed in order to select the information most suitable for inclusion, based on an assessment of the general reliability of the sources, the availability of methodological information and explanatory notes regarding the scope of coverage, the availability of information by sex and age, and the degree of historical coverage. Occasionally, two data repositories have been chosen and presented for a single country, any resulting breaks in the historical series are duly noted. For countries with less-developed labour market information systems, such as those in some developing economies, information may not be easily available to policy-makers and the social partners, and even less so to international organizations seeking to compile global data sets. Many of these countries, however, do collect labour market information through household and establishment surveys, population censuses and administrative records, so that the main problem remains the communication of such information to the global community. In this situation, the ILO Labour Market Indicators Library (LMIL) programme can help. The LMIL is a system for sharing information between the ILO regional offices and headquarters. ILO regional offices are closer to the original micro-sources of data and have therefore been successful in filling in numerous gaps where data at headquarters – used in the production of the KILM – had not existed. It is an ongoing programme that continues to assist the KILM and other ILO publications and research programmes in the expansion of its country and yearly coverage of indicators. In principle, the data are not adjusted, as they are collected through a standard questionnaire, and reported in line with the international classifications. All departures from the international standard definitions and classifications are indicated in notes.	Agency
3	2	7	Treatment of missing values	None.	Agency
3	2	8	Data availability and assessment of countries’ capacity	Data are available for 219 economies for overall participation rates and 207 economies for youth participation rates. The lag between the reference year and actual production of data series is one year or more. Data are produced at least annually.	Agency
3	2	9	Expected time of release	Data are published every two years, usually in September, in the Key Indicators of the Labour Market report.	Agency
4	3	1	Contact point in international agency	Data Production and Analysis Unit, Department of Statistics, International Labour Organization (ILO), Telephone: +41 22 799 8631, Email: ilostat@ilo.org, Website: www.ilo.org/ilostat	Agency
4	3	2	International agreed definition	"According to the International Standard by Status in Employment (ICSE), own-account workers are those workers who, working on their own account or with one or more partners, hold the type of jobs defined as self-employment jobs (i.e. remuneration is directly dependent upon the profits derived from the goods and services produced), and have not engaged on a continuous basis any employees to work for them during the reference period. The employed comprise all persons of working age who during a specified brief period, such as one week or one day, were in the following categories: a) paid employment (whether at work or with a job but not at work); or b) self-employment (whether at work or with an enterprise but not at work). The concept at work refers to persons who during the reference period performed some work for wage or salary, in cash or in kind (for paid employment), or persons who during the reference period performed some work for profit or family gain, in cash or in kind (for self-employment). For operational purposes, the notion ""some work"" may be interpreted as work for at least one hour. For more detailed information, please refer to the Resolution concerning statistics of work, employment and labour underutilization, adopted by the Nineteenth International Conference of Labour Statisticians (October 2013): http://ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm"	Agency
4	3	3	Method of computation	The proportion of employed who are own-account workers is calculated by expressing the number of own-account workers as a percentage of the total employed population.	Agency
4	3	4	Importance of the indicator in addressing gender issues and its limitation	This indicator provides information on the distribution of the workforce by status in employment by sex. Breaking down employment information by status in employment provides a statistical basis for describing workers’ behaviour and conditions of work, and for defining an individual’s socio-economic group. The discrepancy of gender in the employment status can reveal the social inequality problem.	Agency
4	3	5	Sources of discrepancies between global and national figures	Not applicable.	Agency
4	3	6	Process of obtaining data	Household labour force surveys are generally the most comprehensive and comparable sources for employment statistics. Other possible sources include population censuses, establishment surveys and official estimates. The ILO has made an intensive effort to assemble data on the indicators for as many countries, areas and territories as possible. Where there is no information for a country, it is usually because the country involved was not in a position to provide information for the indicator. Even when information for an indicator was available, it may not have been sufficiently current or may not have met other qualifications established for inclusion in the Key Indicators of the Labour Market, on which the information for employment by status is based. In compiling the KILM, the ILO concentrates on bringing together information from international repositories. In other words, the KILM team rarely collects information directly from national sources, but rather takes advantage of existing compilations held by various organizations, such as the following: International Labour Office (Department of Statistics ILOSTAT database), United Nations Statistics Division, Organisation for Economic Co-operation and Development (OECD), World Bank, United Nations Industrial Development Organization (UNIDO), Statistical Office of the European Union (EUROSTAT), United Nations Educational, Scientific and Cultural Organization (UNESCO), United States Bureau of Labor Statistics (BLS). Information maintained by these organizations has generally been obtained from national sources or is based on official national publications. Whenever information was available from more than one repository, the information and background documentation from each repository was reviewed in order to select the information most suitable for inclusion, based on an assessment of the general reliability of the sources, the availability of methodological information and explanatory notes regarding the scope of coverage, the availability of information by sex and age, and the degree of historical coverage. Occasionally, two data repositories have been chosen and presented for a single country; any resulting breaks in the historical series are duly noted. For countries with less-developed labour market information systems, such as those in the developing economies, information may not be easily available to policy-makers and the social partners, and even less so to international organizations seeking to compile global data sets. Many of these countries, however, do collect labour market information through household and establishment surveys, population censuses and administrative records, so that the main problem remains the communication of such information to the global community. In this situation, the ILO Labour Market Indicators Library (LMIL) programme can help. The LMIL is a system for sharing information between the ILO regional offices and headquarters. ILO regional offices are closer to the original micro-sources of data and have therefore been successful in filling in numerous gaps where data at headquarters – used in the production of the KILM – had not existed. It is an ongoing programme that continues to assist the KILM and other ILO publications and research programmes in the expansion of its country and yearly coverage of indicators. In principle, the data are not adjusted, as they are collected through a standard questionnaire, and reported in line with the international classifications. All departures from the international standard definitions and classifications are indicated in notes._x000D_	Agency
4	3	7	Treatment of missing values	None.	Agency
4	3	8	Data availability and assessment of countries’ capacity	Data are available for 183 economies. The lag between the reference year and actual production of data series is one year or more. Data are produced at least annually.	Agency
4	3	9	Expected time of release	Data are published every two years, usually in September, in the Key Indicators of the Labour Market report.	Agency
6	5	1	Contact point in international agency	Data Production and Analysis Unit, Department of Statistics International Labour Organization (ILO) Telephone: +41 22 799 8631 Email: ilostat@ilo.org Website: www.ilo.org/ilostat	Agency
6	5	2	International agreed definition	"According to the International Standard by Status in Employment (ICSE) employers are those workers who working on their own account or with one or a few partners hold the type of jobs defined as self-employment jobs (i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced) and in this capacity have engaged on a continuous basis one or more persons to work for them as employee(s).The employed comprise all persons of working age who during a specified brief period such as one week or one day were in the following categories: a) paid employment (whether at work or with a job but not at work); or b) self-employment (whether at work or with an enterprise but not at work). The concept at work refers to persons who during the reference period performed some work for wage or salary in cash or in kind (for paid employment) or persons who during the reference period performed some work for profit or family gain in cash or in kind (for self-employment). For operational purposes the notion ""some work"" may be interpreted as work for at least one hour. For more detailed information please refer to the Resolution concerning statistics of the economically active population employment unemployment and underemployment adopted by the Thirteenth International Conference of Labour Statisticians (October 1982): http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_087481/lang--en/index.htm"	Agency
6	5	3	Method of computation	The proportion of employed who are employers is calculated by expressing the number of employers as a percentage of the total employed population.	Agency
6	5	4	Importance of the indicator in addressing gender issues and its limitation	This indicator provides information on the distribution of the workforce by status in employment by sex. Breaking down employment information by status in employment provides a statistical basis for describing worker''s behaviour and conditions of work and for defining an individual''s socio-economic group. The discrepancy of gender in the employment status can reveal the social inequality problem.	Agency
6	5	5	Sources of discrepancies between global and national figures	Not applicable.	Agency
6	5	6	Process of obtaining data	Household labour force surveys are generally the most comprehensive and comparable sources for employment statistics. Other possible sources include population censuses establishment surveys and official estimates.The ILO has made an intensive effort to assemble data on the indicators for as many countries areas and territories as possible. Where there is no information for a country it is usually because the country involved was not in a position to provide information for the indicator. Even when information for an indicator was available it may not have been sufficiently current or may not have met other qualifications established for inclusion in the Key Indicators of the Labour Market on which the information for employment by status is based.In compiling the KILM the ILO concentrates on bringing together information from international repositories. In other words the KILM team rarely collects information directly from national sources but rather takes advantage of existing compilations held by various organizations such as the following: International Labour Office (Department of Statistics ILOSTAT database) United Nations Statistics Division Organisation for Economic Co-operation and Development (OECD) World Bank United Nations Industrial Development Organization (UNIDO) Statistical Office of the European Union (EUROSTAT) United Nations Educational Scientific and Cultural Organization (UNESCO) United States Bureau of Labor Statistics (BLS).Information maintained by these organizations has generally been obtained from national sources or is based on official national publications.Whenever information was available from more than one repository the information and background documentation from each repository was reviewed in order to select the information most suitable for inclusion based on an assessment of the general reliability of the sources the availability of methodological information and explanatory notes regarding the scope of coverage the availability of information by sex and age and the degree of historical coverage. Occasionally two data repositories have been chosen and presented for a single country; any resulting breaks in the historical series are duly noted.For countries with less-developed labour market information systems such as those in the developing economies information may not be easily available to policy-makers and the social partners and even less so to international organizations seeking to compile global data sets. Many of these countries however do collect labour market information through household and establishment surveys population censuses and administrative records so that the main problem remains the communication of such information to the global community. In this situation the ILO Labour Market Indicators Library (LMIL) programme can help. The LMIL is a system for sharing information between the ILO regional offices and headquarters. ILO regional offices are closer to the original micro-sources of data and have therefore been successful in filling in numerous gaps where data at headquarters used in the production of the KILM had not existed. It is an ongoing programme that continues to assist the KILM and other ILO publications and research programmes in the expansion of its country and yearly coverage of indicators.In principle the data are not adjusted as they are collected through a standard questionnaire and reported in line with the international classifications. All departures from the international standard definitions and classifications are indicated in notes.	Agency
6	5	7	Treatment of missing values	None.	Agency
6	5	8	Data availability and assessment of countries’ capacity	Data are available for 180 economies. The lag between the reference year and actual production of data series is one year or more. Data are produced at least annually.	Agency
6	5	9	Expected time of release	Data are published every two years usually in September in the Key Indicators of the Labour Market report.	Agency
8	6	1	Contact point in international agency	Data Production and Analysis Unit, Department of Statistics International Labour Organization (ILO) Telephone: +41 22 799 8631 Email: ilostat@ilo.org Website: www.ilo.org/ilostat_x000D_	Agency
8	6	2	International agreed definition	"According to the International Standard by Status in Employment (ICSE), employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as “self-employment jobs” (i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s). The employed comprise all persons of working age who during a specified brief period, such as one week or one day, were in the following categories: a) paid employment (whether at work or with a job but not at work), or b) self-employment (whether at work or with an enterprise but not at work). The concept at work refers to persons who during the reference period performed some work for wage or salary, in cash or in kind (for paid employment), or persons who during the reference period performed some work for profit or family gain, in cash or in kind (for self-employment). For operational purposes, the notion ""some work"" may be interpreted as work for at least one hour. For more detailed information, please refer to the Resolution concerning statistics of work, employment and labour underutilization, adopted by the Nineteenth International Conference of Labour Statisticians (October 2013): http://ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm"	Agency
