REF_AREA,REF_AREA_DESC,ISO3,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,TIME_PERIOD,INDICATOR_LABEL_100,INDICATOR_ID_100,INDICATOR_DESC_100,MINSET_SERIES_100,MINSET_SERIES_DESC_100,X,Y,OBS_VALUE__100__F__Y_GE10___T,OBS_VALUE__100__M__Y_GE10___T,OBS_VALUE__100__F__Y_GE65___T,OBS_VALUE__100__M__Y_GE65___T,OBS_VALUE__100__F__Y_GE10__R,OBS_VALUE__100__M__Y_GE10__R,OBS_VALUE__100__F__Y_GE65__R,OBS_VALUE__100__M__Y_GE65__R,OBS_VALUE__100__F__Y_GE10__U,OBS_VALUE__100__M__Y_GE10__U,OBS_VALUE__100__F__Y_GE65__U,OBS_VALUE__100__M__Y_GE65__U,OBS_VALUE__100__F__Y_GE12___T,OBS_VALUE__100__M__Y_GE12___T,OBS_VALUE__100__F__Y15T24___T,OBS_VALUE__100__M__Y15T24___T,OBS_VALUE__100__F__Y_GE12__R,OBS_VALUE__100__M__Y_GE12__R,OBS_VALUE__100__F__Y_GE12__U,OBS_VALUE__100__M__Y_GE12__U,OBS_VALUE__100__F__Y_GE15___T,OBS_VALUE__100__M__Y_GE15___T,OBS_VALUE__100__F__Y25T44___T,OBS_VALUE__100__M__Y25T44___T,OBS_VALUE__100__F__Y45T54___T,OBS_VALUE__100__M__Y45T54___T,OBS_VALUE__100__F__Y55T64___T,OBS_VALUE__100__M__Y55T64___T,OBS_VALUE__100__F__Y_GE15__R,OBS_VALUE__100__M__Y_GE15__R,OBS_VALUE__100__F__Y15T24__R,OBS_VALUE__100__M__Y15T24__R,OBS_VALUE__100__F__Y25T44__R,OBS_VALUE__100__M__Y25T44__R,OBS_VALUE__100__F__Y45T54__R,OBS_VALUE__100__M__Y45T54__R,OBS_VALUE__100__F__Y55T64__R,OBS_VALUE__100__M__Y55T64__R,OBS_VALUE__100__F__Y_GE15__U,OBS_VALUE__100__M__Y_GE15__U,OBS_VALUE__100__F__Y15T24__U,OBS_VALUE__100__M__Y15T24__U,OBS_VALUE__100__F__Y25T44__U,OBS_VALUE__100__M__Y25T44__U,OBS_VALUE__100__F__Y45T54__U,OBS_VALUE__100__M__Y45T54__U,OBS_VALUE__100__F__Y55T64__U,OBS_VALUE__100__M__Y55T64__U,OBS_VALUE__100__F___T___T,OBS_VALUE__100__M___T___T,OBS_VALUE__100__F__Y20T74___T,OBS_VALUE__100__M__Y20T74___T,OBS_VALUE__100__F__Y15T64___T,OBS_VALUE__100__M__Y15T64___T,OBS_VALUE__100__F__Y12T24___T,OBS_VALUE__100__M__Y12T24___T,OBS_VALUE__100__F__Y25T34___T,OBS_VALUE__100__M__Y25T34___T,OBS_VALUE__100__F__Y35T44___T,OBS_VALUE__100__M__Y35T44___T,OBS_VALUE__100__F__Y65T74___T,OBS_VALUE__100__M__Y65T74___T,OBS_VALUE__100__F__Y75T84___T,OBS_VALUE__100__M__Y75T84___T,OBS_VALUE__100__F__Y_GE85___T,OBS_VALUE__100__M__Y_GE85___T,OBS_VALUE__100__F__Y_GE16___T,OBS_VALUE__100__M__Y_GE16___T,OBS_VALUE__100__F__Y45T64___T,OBS_VALUE__100__M__Y45T64___T,OBS_VALUE__100__F__Y_GE18___T,OBS_VALUE__100__M__Y_GE18___T,OBS_VALUE__100__F__Y06T65__R,OBS_VALUE__100__M__Y06T65__R,OBS_VALUE__100__F__Y06T65__U,OBS_VALUE__100__M__Y06T65__U,OBS_VALUE__100__F__Y15T49__R,OBS_VALUE__100__M__Y15T49__R,OBS_VALUE__100__F__Y15T49__U,OBS_VALUE__100__M__Y15T49__U,OBS_VALUE__100__F__Y12T14___T,OBS_VALUE__100__M__Y12T14___T,OBS_VALUE__100__F__Y12T14__R,OBS_VALUE__100__M__Y12T14__R,OBS_VALUE__100__F__Y12T14__U,OBS_VALUE__100__M__Y12T14__U,OBS_VALUE__100__F__Y10T14___T,OBS_VALUE__100__M__Y10T14___T,OBS_VALUE__100__F__Y45T64__R,OBS_VALUE__100__M__Y45T64__R,OBS_VALUE__100__F__Y45T64__U,OBS_VALUE__100__M__Y45T64__U,OBS_VALUE__100__F__Y_GE20___T,OBS_VALUE__100__M__Y_GE20___T,OBS_VALUE__100__F__Y20T24___T,OBS_VALUE__100__M__Y20T24___T,OBS_VALUE__100__F__Y20T64___T,OBS_VALUE__100__M__Y20T64___T,OBS_VALUE__100__F__Y_GE06___T,OBS_VALUE__100__M__Y_GE06___T,OBS_VALUE__100__F__Y_GE05___T,OBS_VALUE__100__M__Y_GE05___T,OBS_VALUE__100__F__Y_GE14___T,OBS_VALUE__100__M__Y_GE14___T,OBS_VALUE__400__F__Y_GE15__R,OBS_VALUE__400__M__Y_GE15__R,OBS_VALUE__400__F__Y_GE10__R,OBS_VALUE__400__M__Y_GE10__R,OBS_VALUE__400__F__Y_GE65__R,OBS_VALUE__400__M__Y_GE65__R,OBS_VALUE__400__F__Y15T24__R,OBS_VALUE__400__M__Y15T24__R,OBS_VALUE__400__F__Y25T44__R,OBS_VALUE__400__M__Y25T44__R,OBS_VALUE__400__F__Y45T54__R,OBS_VALUE__400__M__Y45T54__R,OBS_VALUE__400__F__Y55T64__R,OBS_VALUE__400__M__Y55T64__R,OBS_VALUE__400__F__Y15T49__R,OBS_VALUE__400__M__Y15T49__R,OBS_VALUE__400__F___T__R,OBS_VALUE__400__M___T__R,OBS_VALUE__400__F__Y_GE12__R,OBS_VALUE__400__M__Y_GE12__R,OBS_VALUE__400__F__Y_GE15__U,OBS_VALUE__400__M__Y_GE15__U,OBS_VALUE__400__F__Y_GE10__U,OBS_VALUE__400__M__Y_GE10__U,OBS_VALUE__400__F__Y_GE65__U,OBS_VALUE__400__M__Y_GE65__U,OBS_VALUE__400__F__Y15T24__U,OBS_VALUE__400__M__Y15T24__U,OBS_VALUE__400__F__Y25T44__U,OBS_VALUE__400__M__Y25T44__U,OBS_VALUE__400__F__Y45T54__U,OBS_VALUE__400__M__Y45T54__U,OBS_VALUE__400__F__Y55T64__U,OBS_VALUE__400__M__Y55T64__U,OBS_VALUE__400__F__Y15T49__U,OBS_VALUE__400__M__Y15T49__U,OBS_VALUE__400__F___T__U,OBS_VALUE__400__M___T__U,OBS_VALUE__400__F__Y_GE12__U,OBS_VALUE__400__M__Y_GE12__U,OBS_VALUE__400__F__Y_GE15___T,OBS_VALUE__400__M__Y_GE15___T,OBS_VALUE__400__F__Y20T74___T,OBS_VALUE__400__M__Y20T74___T,OBS_VALUE__400__F__Y_GE10___T,OBS_VALUE__400__M__Y_GE10___T,OBS_VALUE__400__F__Y_GE65___T,OBS_VALUE__400__M__Y_GE65___T,OBS_VALUE__400__F__Y_GE12___T,OBS_VALUE__400__M__Y_GE12___T,OBS_VALUE__400__F__Y15T24___T,OBS_VALUE__400__M__Y15T24___T,OBS_VALUE__400__F__Y25T44___T,OBS_VALUE__400__M__Y25T44___T,OBS_VALUE__400__F__Y45T54___T,OBS_VALUE__400__M__Y45T54___T,OBS_VALUE__400__F__Y55T64___T,OBS_VALUE__400__M__Y55T64___T,OBS_VALUE__400__F__Y_GE18___T,OBS_VALUE__400__M__Y_GE18___T,OBS_VALUE__400__F__Y_GE05___T,OBS_VALUE__400__M__Y_GE05___T,OBS_VALUE__400__F__Y15T64___T,OBS_VALUE__400__M__Y15T64___T,OBS_VALUE__400__F___T___T,OBS_VALUE__400__M___T___T,OBS_VALUE__400__F__Y_GE14___T,OBS_VALUE__400__M__Y_GE14___T,OBS_VALUE__400__F__Y20T64___T,OBS_VALUE__400__M__Y20T64___T,OBS_VALUE__400__F__Y_GE16___T,OBS_VALUE__400__M__Y_GE16___T,OBS_VALUE__400__F__Y45T64___T,OBS_VALUE__400__M__Y45T64___T,OBS_VALUE__400__F__Y_GE06___T,OBS_VALUE__400__M__Y_GE06___T
152,Chile,CHL,Latin America and the Caribbean,G,Global,2015,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-71.23029019,-35.2652885,,,4.2459072,2.4687672000000003,,,,,,,,,5.304852,2.3649504,,,,,,,,,7.0426536,2.811852,5.6234232,2.4353376,5.10906,2.2728384,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3729287999999995,1.729656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,
156,China,CHN,Eastern and South-Eastern Asia,G,Global,2008,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",104.1403375,32.30955217,,,,,,,,,,,,,,,,,,,,,3.8833344,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,China,CHN,Eastern and South-Eastern Asia,G,Global,2018,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",104.1403375,32.30955217,,,,,,,,,,,,,,,1.2833328,0.4000008,,,,,3.6833328,1.4166672,,,3.7999992,1.2499992,4.8499992,1.9333344,3.7666656,1.3000008,,,,,,,,,3.6666672,1.5333336,,,,,,,,,,,,,,,,,3.9333336,1.1666664,3.6666672,1.5166656,4.2833328,2.2833336,2.7333336,1.9833336,1.2666672,1.0833336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,COL,Latin America and the Caribbean,G,Global,2013,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-73.07446751,3.888209046,3.9100008,1.05,3.48,1.2799992,4.86,1.05,4.009999199999999,1.3300008,3.6499992,1.0399992,3.36,1.2499992,,,3.3100008,0.8800007999999999,,,,,4.2100008,1.0900008,4.7500008000000005,1.14,4.450000800000001,1.1200008,4.5799992,1.26,5.3299992,1.11,4.6900008,0.9,6.1300008,1.1299992,5.49,1.0900008,5.2399992,1.2700008,3.93,1.0999992,2.91,0.87,4.4299992,1.14,4.240000800000001,1.1200008,4.4200008,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,COL,Latin America and the Caribbean,G,Global,2017,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-73.07446751,3.888209046,,,3.4647048000000003,1.4084064,,,,,,,,,,,3.5750976000000003,0.9762,,,,,4.3637376,1.2687192000000005,4.9144056,1.3730496,4.6272096,1.3274136,4.6637616,1.3373184,5.406988799999999,1.26648,,,,,,,,,4.1143584,1.2693912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,CRI,Latin America and the Caribbean,G,Global,2017,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-84.19712782,9.970998683,,,4.6938336,2.4359616,,,4.8506256,2.2192776,,,4.637772,2.5612248,5.1159336,1.9579392,3.8305128,1.5030264,5.6448432,1.9277904,4.8934632,1.9721496000000005,5.3149704,2.0108592,5.946883199999999,2.1126984,5.705676,2.172348,5.8347744,2.0486088,5.9116416,1.9794744,4.7196816,1.4113296,6.624840000000001,2.0670168,6.2001432,2.0913072,6.1095384,2.2648224,5.0671632,2.02572,3.4394568000000003,1.5399624,5.648815199999999,2.1376536,5.5472328,2.2014024,5.7032376,1.9531224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,7.83,,,,,,,,,,,,,,,,,,,7.6,7.34,,,,,,,,,7.69,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,CUB,Latin America and the Caribbean,G,Global,2001,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-79.54460144,22.10030366,,,,,,,,,,,,,,,,,,,,,3.9166656,1.2833328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,CUB,Latin America and the Caribbean,G,Global,2016,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-79.54460144,22.10030366,,,,,,,,,,,,,,,,,,,,,5.04,2.9928576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,DNK,Europe and Northern America,G,Global,2001,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",9.326571283,56.03829721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4999991999999995,2.4333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,7.47,,,,
208,Denmark,DNK,Europe and Northern America,G,Global,2009,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",9.326571283,56.03829721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dominican Republic,DOM,Latin America and the Caribbean,G,Global,2016,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-70.49847576,18.89832088,,,2.4632424,0.8804375999999999,,,,,,,,,,,3.8917272,0.7182648,,,,,4.0101288,0.9085464,4.6791048,1.0168896,3.8260464,0.9694656,3.9584448,0.8164608,4.3840032,0.8046072,,,,,,,,,3.8957856,0.9469968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,ECU,Latin America and the Caribbean,G,Global,2012,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-78.37005241,-1.447785891,,,3.6463944,1.35702,,,,,,,,,,,2.9294183999999994,0.7481471999999999,,,,,4.738811999999999,1.1332608,5.984184,1.2549792,5.2787688,1.2745704,5.0431536,1.3004784,5.004758399999999,1.0958736,,,,,,,,,4.6075296,1.1528784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,SLV,Latin America and the Caribbean,G,Global,2010,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-88.86862995,13.73603564,,,4.5118968,2.2822752,,,,,,,,,,,5.2662024,1.216716,,,,,5.459517600000001,1.8828312,5.9464368,1.933608,5.6491056,2.198952,5.361623999999999,2.4277248,6.0591816000000005,1.7132088,,,,,,,,,5.1567912,1.9810488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,SLV,Latin America and the Caribbean,G,Global,2017,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-88.86862995,13.73603564,,,4.543977600000001,2.1828528,,,,,,,,,,,4.0390536,1.4441472000000002,,,,,4.85106,1.6870272,5.2992816,1.7570015999999995,5.2295208,1.5595608,5.1353832,1.6426679999999998,5.353564799999999,1.5453624,,,,,,,,,4.5615024,1.7749632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Ethiopia,ETH,Sub-Saharan Africa,G,Global,2013,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",39.63505296,8.631223181,4.6333344,1.5833328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,EST,Europe and Northern America,G,Global,2000,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",25.84093481,58.68487172,4.7833344,2.6833344,5.616667199999999,4.2499992,,,,,,,,,,,3.4666656,1.6833336,,,,,,,5.2833336,2.7833328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4499992,3.5500008000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,EST,Europe and Northern America,G,Global,2010,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",25.84093481,58.68487172,4.1333328,2.5833336,4.8666672,4.0999992,,,,,,,,,,,2.3333328,1.2499992,,,,,,,4.7333328,2.5000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1833344,3.0833328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,6.1,5.33,5.15,,,4.47,3.6,8.77,7.7,,,,,,,,,,,,,,,,,,,8.63,7.22,,
242,Fiji,FJI,"Oceania, exc. Australia and New Zealand",G,Global,2016,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",177.9660884,-17.83301566,,,2.3285376,0.9754104,,,2.3908704,0.9187896,,,2.2678272,1.0548504,,,2.5761792000000003,0.9072624,,,,,3.6379488,1.2467424,4.5998208,1.5071712000000002,3.5294952,1.1942160000000002,3.482076,1.2468336,4.0089984,1.3166568,2.9357496000000003,0.8953488000000001,5.181672,1.6341288,3.7559976,1.2859248,3.4794024,1.3078248,3.3338736,1.1832768,2.3291784,0.9160344,4.1145888,1.3949903999999995,3.3274152,1.1011392,3.4843392,1.1854079999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,FIN,Europe and Northern America,G,Global,2000,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",23.308447,61.91586738,3.6109992,2.2960008,3.846,3.1930008,4.075000800000001,2.4430008,4.085999999999999,3.2740008,3.5080008,2.2600008,3.783,3.165,,,2.2429992,1.2229992,,,,,3.7969992,2.4049992,4.393000799999999,2.325,3.6739992,2.4570000000000003,4.183000799999999,2.9629992,4.398,2.5930008,2.451,1.0900008,4.952999999999999,2.4859992,4.6090008000000005,2.4940008,5.0749992,3.132000000000001,3.6679992,2.3599992,2.2090008,1.245,4.2919992,2.2939992,3.4660008,2.4469992,3.9460007999999993,2.9140008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,FIN,Europe and Northern America,G,Global,2010,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",23.308447,61.91586738,3.4870008,2.3890008,4.0249992,3.261,4.14,2.6509992,4.9129992,3.618,3.3589992,2.3350008,3.8470008,3.1609992,,,1.7149992,1.1959992,,,,,3.6490008,2.5180008,4.4479992,2.5189992,3.3790008,2.4889992000000003,3.7320000000000007,2.9239992,4.4269992,2.7859992,1.8769992,0.9640008,5.037000000000001,2.8870008,3.6799992,2.5920000000000005,5.0569992,3.3589992,3.4999991999999995,2.4619992,1.6900008,1.2400008,4.323,2.4529992,3.3229992,2.4610008,3.489,2.8549992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,FRA,Europe and Northern America,G,Global,2010,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",2.457288129,46.62660861,,,4.2550896,3.3655752000000003,,,,,,,,,,,1.7787984,0.8849616,,,,,3.7855536,2.2787136,4.2902184,2.2768080000000004,4.1024496,2.2218,4.464,3.1821312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,PSE,Northern Africa and Western Asia,G,Global,2000,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",35.25694122,31.94347933,4.8499992,0.7333343999999999,2.0833344,0.6333335999999999,4.8,0.7166664,1.9000008,0.5666664,4.8166656,0.75,2.2166664,0.6499992,,,4.5166656,0.4999992,,,,,5.55,0.7666656000000001,7.3000008,0.9,5.2333344,1.05,3.5666664000000003,0.8500008,5.4333336,0.7666656000000001,4.6333344,0.4999992,7.383333599999999,0.8666664000000001,4.5,1.2499992,3.6833328,0.7166664,5.55,0.7833336,4.383333599999999,0.5166672,7.249999199999999,0.9499992,5.633332800000001,0.9666672,3.6,0.9333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,PSE,Northern Africa and Western Asia,G,Global,2013,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",35.25694122,31.94347933,4.2666672,0.7166664,2.1333336,0.8166671999999999,4.0833336,0.6166656,1.6333344,0.9,4.383333599999999,0.7333343999999999,2.3166672,0.7999992,,,3.3333336,0.4833336,,,,,4.8333336,0.7166664,6.5333328,0.8166671999999999,5.1833328000000005,0.8833344,4.3999992,0.9666672,4.65,0.6333335999999999,3.1000008,0.4000008,6.383332800000001,0.7666656000000001,4.8333336,0.7000008,4.2166656,0.7666656000000001,4.9000008,0.7166664,3.4333344,0.4833336,6.5666664,0.8333328,5.2833336,0.9333336,4.6000008,1.0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,DEU,Europe and Northern America,G,Global,2002,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",10.3806066,51.08862743,4.242000000000001,2.5150008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
