INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,TIME_PERIOD,VALUE_CATEGORY_DESC,TIME_DETAIL,NATURE,COMMENT_OBS,isLatestValue
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,32,Argentina,ARG,-65.14563274,-35.19446255,Latin America and the Caribbean,G,Global,2019,1988,"Ratified, in force",1988-03-17 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,320,Guatemala,GTM,-91.2312746,15.00273719,Latin America and the Caribbean,G,Global,2019,1994,"Ratified, in force",1994-01-06 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,324,Guinea,GIN,-11.28173419,11.00210343,Sub-Saharan Africa,G,Global,2019,1995,"Ratified, in force",1995-10-16 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,352,Iceland,ISL,-19.02116966,64.79134763,Europe and Northern America,G,Global,2019,2000,"Ratified, in force",2000-06-22 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,36,Australia,AUS,134.3499412,-25.57717202,Australia and New Zealand,G,Global,2019,1990,"Ratified, in force",1990-03-30 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,G,Global,2019,1995,"Ratified, in force",1995-06-09 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,398,Kazakhstan,KAZ,66.65359159,48.01963494,Central and Southern Asia,G,Global,2019,2013,"Ratified, in force",2013-01-17 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,G,Global,2019,2001,"Ratified, in force",2001-03-29 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,440,Lithuania,LTU,23.90517807,55.33680309,Europe and Northern America,G,Global,2019,2004,"Ratified, in force",2004-05-06 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,480,Mauritius,MUS,57.568022,-20.28581998,Sub-Saharan Africa,G,Global,2019,2004,"Ratified, in force",2004-04-05 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,499,Montenegro,MNE,19.25214024,42.78717043,Europe and Northern America,G,Global,2019,2006,"Ratified, in force",2006-06-03 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,G,Global,2019,1988,"Ratified, in force",1988-03-24 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,56,Belgium,BEL,4.660976456,50.64104975,Europe and Northern America,G,Global,2019,2015,"Ratified, in force",2015-04-10 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,562,Niger,NER,9.400167877,17.42143036,Sub-Saharan Africa,G,Global,2019,1985,"Ratified, in force",1985-06-05 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,578,Norway,NOR,11.47846389,61.34311134,Europe and Northern America,G,Global,2019,1982,"Ratified, in force",1982-06-22 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,600,Paraguay,PRY,-60.54854225,-21.70216237,Latin America and the Caribbean,G,Global,2019,2007,"Ratified, in force",2007-12-21 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,604,Peru,PER,-71.82093277,-13.58939705,Latin America and the Caribbean,G,Global,2019,1986,"Ratified, in force",1986-06-16 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,620,Portugal,PRT,-7.961599811,39.68509315,Europe and Northern America,G,Global,2019,1985,"Ratified, in force",1985-05-02 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,643,Russian Federation,RUS,99.01404926,61.61899849,Europe and Northern America,G,Global,2019,1998,"Ratified, in force",1998-02-13 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,674,San Marino,SMR,12.46329038,43.93841766,Europe and Northern America,G,Global,2019,1988,"Ratified, in force",1988-04-19 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,68,Bolivia (Plurinational State of),BOL,-64.66224284,-16.71273412,Latin America and the Caribbean,G,Global,2019,1998,"Ratified, in force",1998-09-01 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,688,Serbia,SRB,20.805876,44.03145697,Europe and Northern America,G,Global,2019,2000,"Ratified, in force",2000-11-24 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,70,Bosnia and Herzegovina,BIH,17.78584332,44.16845548,Europe and Northern America,G,Global,2019,1993,"Ratified, in force",1993-06-02 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,703,Slovakia,SVK,19.48495604,48.70741446,Europe and Northern America,G,Global,2019,2002,"Ratified, in force",2002-06-14 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,705,Slovenia,SVN,14.82209486,46.11958061,Europe and Northern America,G,Global,2019,1992,"Ratified, in force",1992-05-29 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,724,Spain,ESP,-3.554078296,40.39211472,Europe and Northern America,G,Global,2019,1985,"Ratified, in force",1985-09-11 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,752,Sweden,SWE,14.3775338,60.60103109,Europe and Northern America,G,Global,2019,1982,"Ratified, in force",1982-08-11 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,8,Albania,ALB,20.06660928,41.13897007,Europe and Northern America,G,Global,2019,2007,"Ratified, in force",2007-10-11 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,804,Ukraine,UKR,31.40270802,49.00735945,Europe and Northern America,G,Global,2019,2000,"Ratified, in force",2000-04-11 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,807,North Macedonia,MKD,21.7007909,41.60048068,Europe and Northern America,G,Global,2019,1991,"Ratified, in force",1991-11-17 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,84,Belize,BLZ,-88.70199554,17.19965901,Latin America and the Caribbean,G,Global,2019,1999,"Ratified, in force",1999-06-22 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,858,Uruguay,URY,-56.01387025,-32.8002838,Latin America and the Caribbean,G,Global,2019,1989,"Ratified, in force",1989-11-16 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,862,Venezuela (Bolivarian Republic of),VEN,-66.15642084,7.121324748,Latin America and the Caribbean,G,Global,2019,1984,"Ratified, in force",1984-11-27 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,887,Yemen,YEM,45.22389143,15.22242099,Northern Africa and Western Asia,G,Global,2019,1989,"Ratified, in force",1989-03-13 00:00:00,C,,True
