INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T49,OBS_VALUE__F__Y15T19,TIME_DETAIL__F__Y15T49,TIME_DETAIL__F__Y15T19,NATURE__F__Y15T49,NATURE__F__Y15T19,COMMENT_OBS__F__Y15T49,COMMENT_OBS__F__Y15T19,isLatestValue__F__Y15T49,isLatestValue__F__Y15T19
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2021,PT,Percent,2010,,32.4,,2010,,E,,Based on 25 countries covering 69 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2021,PT,Percent,2015,,29.4,,2015,,E,,Based on 25 countries covering 69 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2021,PT,Percent,2020,,24.8,,2020,,E,,Based on 25 countries covering 69 per cent of the regional population of adolescent girls aged 15 to 19 years,,True
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,9.2,,2014,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",231,Ethiopia,ETH,39.63505296,8.631223181,Sub-Saharan Africa,G,Global,2021,PT,Percent,2016,65.2,,2016,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",232,Eritrea,ERI,38.11074289,16.12894644,Sub-Saharan Africa,G,Global,2021,PT,Percent,2010,83.0,,2010,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",262,Djibouti,DJI,42.18274707,11.56004161,Sub-Saharan Africa,G,Global,2021,PT,Percent,2012,94.4,,2012,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",270,Gambia,GMB,-15.39944785,13.45295927,Sub-Saharan Africa,G,Global,2021,PT,Percent,2018,75.7,,2018,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",288,Ghana,GHA,-1.205623522,7.964825185,Sub-Saharan Africa,G,Global,2021,PT,Percent,2018,2.4,,2017-2018,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",324,Guinea,GIN,-11.28173419,11.00210343,Sub-Saharan Africa,G,Global,2021,PT,Percent,2018,94.5,,2018,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",368,Iraq,IRQ,43.76606267,33.05013795,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2018,7.4,,2018,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",384,Côte d'Ivoire,CIV,-5.552690016,7.62211586,Sub-Saharan Africa,G,Global,2021,PT,Percent,2016,36.7,,2016,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",404,Kenya,KEN,37.86096816,0.534797278,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,21.0,,2014,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",430,Liberia,LBR,-9.311879038,6.448381009,Sub-Saharan Africa,G,Global,2021,PT,Percent,2013,44.4,,2013,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",432,Landlocked developing countries (LLDCs),,,,,G,Global,2021,PT,Percent,2000,,53.8,,2000,,E,,Based on 7 countries covering 51 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",432,Landlocked developing countries (LLDCs),,,,,G,Global,2021,PT,Percent,2005,,54.0,,2005,,E,,Based on 7 countries covering 51 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",432,Landlocked developing countries (LLDCs),,,,,G,Global,2021,PT,Percent,2010,,49.2,,2010,,E,,Based on 7 countries covering 51 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",432,Landlocked developing countries (LLDCs),,,,,G,Global,2021,PT,Percent,2015,,43.5,,2015,,E,,Based on 7 countries covering 51 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",432,Landlocked developing countries (LLDCs),,,,,G,Global,2021,PT,Percent,2020,,36.0,,2020,,E,,Based on 7 countries covering 51 per cent of the regional population of adolescent girls aged 15 to 19 years,,True
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",462,Maldives,MDV,73.09672546,-0.614385021,Central and Southern Asia,G,Global,2021,PT,Percent,2017,12.9,,2016-2017,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",466,Mali,MLI,-3.522016039,17.35311254,Sub-Saharan Africa,G,Global,2021,PT,Percent,2018,88.6,,2018,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",478,Mauritania,MRT,-10.33187259,20.26089546,Sub-Saharan Africa,G,Global,2021,PT,Percent,2015,66.6,,2015,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",562,Niger,NER,9.400167877,17.42143036,Sub-Saharan Africa,G,Global,2021,PT,Percent,2012,2.0,,2012,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",566,Nigeria,NGA,8.097363256,9.585789025,Sub-Saharan Africa,G,Global,2021,PT,Percent,2018,19.5,,2018,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",624,Guinea-Bissau,GNB,-14.40182514,12.11760394,Sub-Saharan Africa,G,Global,2021,PT,Percent,2019,52.1,,2018-2019,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",686,Senegal,SEN,-14.46636926,14.35920905,Sub-Saharan Africa,G,Global,2021,PT,Percent,2019,25.2,,2019,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",694,Sierra Leone,SLE,-11.78306584,8.568604164,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,86.1,,2017,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",706,Somalia,SOM,46.20367477,4.406485729,Sub-Saharan Africa,G,Global,2021,PT,Percent,2020,99.2,,2020,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",729,Sudan,SDN,29.95650159,16.02643066,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2014,86.6,,2014,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",768,Togo,TGO,0.97835765,8.532096072,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,3.1,,2017,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",800,Uganda,UGA,32.39100438,1.279557331,Sub-Saharan Africa,G,Global,2021,PT,Percent,2016,0.3,,2016,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2015,87.2,,2015,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",834,United Republic of Tanzania,TZA,34.80521182,-6.265332606,Sub-Saharan Africa,G,Global,2021,PT,Percent,2016,10.0,,2015-2016,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",854,Burkina Faso,BFA,-1.742843829,12.27491081,Sub-Saharan Africa,G,Global,2021,PT,Percent,2010,75.8,,2010,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",887,Yemen,YEM,45.22389143,15.22242099,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2013,18.5,,2013,,C,,,,True,
