INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F___X__PWD,OBS_VALUE__M___X__PWD,OBS_VALUE___T___X__PWD,OBS_VALUE__F___X__PD,OBS_VALUE__M___X__PD,OBS_VALUE___T___X__PD,OBS_VALUE__F___X___T,OBS_VALUE___T___X___T,OBS_VALUE__M___X___T,NATURE__F___X__PWD,NATURE__M___X__PWD,NATURE___T___X__PWD,NATURE__F___X__PD,NATURE__M___X__PD,NATURE___T___X__PD,NATURE__F___X___T,NATURE___T___X___T,NATURE__M___X___T,COMMENT_OBS__F___X__PWD,COMMENT_OBS__M___X__PWD,COMMENT_OBS___T___X__PWD,COMMENT_OBS__F___X__PD,COMMENT_OBS__M___X__PD,COMMENT_OBS___T___X__PD,COMMENT_OBS__F___X___T,COMMENT_OBS___T___X___T,COMMENT_OBS__M___X___T,isLatestValue__F___X__PWD,isLatestValue__M___X__PWD,isLatestValue___T___X__PWD,isLatestValue__F___X__PD,isLatestValue__M___X__PD,isLatestValue___T___X__PD,isLatestValue__F___X___T,isLatestValue___T___X___T,isLatestValue__M___X___T
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2009,12.5,9.0,10.4,10.1,8.1,8.9,12.4,10.3,9.0,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing | Unemployment definition: Two criteria (not in employment and seeking),False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2011,8.9,5.9,7.1,8.6,6.0,7.2,8.9,7.1,5.9,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2013,7.5,5.8,6.5,7.1,4.9,5.9,7.5,6.5,5.7,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2015,7.5,6.2,6.8,7.6,6.5,7.0,7.5,6.8,6.2,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2017,7.9,6.6,7.2,6.8,6.8,6.8,7.8,7.1,6.6,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,True,True,True,True,True,True,True,True,True
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",184,Cook Islands,COK,-159.7711391,-21.22696458,"Oceania, exc. Australia and New Zealand",G,Global,2021,PT,Percent,2019,0.9,1.6,1.3,,,,0.9,1.3,1.6,C,C,C,,,,C,C,C,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,True,True,True,,,,True,True,True
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2010,9.0,5.9,7.1,12.6,7.6,9.3,9.1,7.2,6.0,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Unreliable | Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2012,9.9,6.2,7.7,7.1,10.1,9.1,9.8,7.7,6.3,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Unreliable | Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2013,10.4,6.9,8.3,11.0,7.4,8.6,10.4,8.3,6.9,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Unreliable | Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2014,10.4,6.9,8.3,11.2,11.1,11.2,10.4,8.4,7.0,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2015,10.5,7.0,8.4,13.1,10.5,11.3,10.5,8.5,7.1,C,C,C,C,C,C,C,C,C,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,Type of difficulties: Activity limitations | Level of difficulties: Level of difficulties not used as a criteria | Minimum duration of disability: Permanent,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2016,9.7,6.1,7.6,14.4,8.0,10.1,9.8,7.6,6.1,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2017,9.0,6.1,7.2,10.6,8.0,8.7,9.0,7.3,6.1,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Unreliable | Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2018,9.6,7.0,8.0,9.7,7.8,8.4,9.6,8.1,7.0,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",S36180f12,"Unemployment rate, by sex and disability",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2019,11.0,7.8,9.1,9.0,8.3,8.5,11.0,9.1,7.8,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,True,True,True,True,True,True,True,True,True
