INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T49,TIME_DETAIL__F__Y15T49,NATURE__F__Y15T49,COMMENT_OBS__F__Y15T49,isLatestValue__F__Y15T49
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2011,51.6,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2014,56.5,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2006,74.7,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2013,77.2,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2004,33.6,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2011,39.2,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,47.0,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,73.2,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,2011,28.7,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2000,74.2,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2005,75.1,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2010,75.2,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2015,75.7,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2019,76.1,,E,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2000,56.1,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2007,69.4,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Excluding the Northern Province.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2016,74.3,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2000,45.8,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2005,49.7,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2010,51.9,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2015,53.7,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2019,55.3,,E,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,PT,Percent,2004,8.0,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,PT,Percent,2010,13.6,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,PT,Percent,2015,20.2,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2000,67.0,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2005,69.5,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2010,70.6,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2015,70.9,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2019,71.7,,E,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,150,Europe,,,,Europe and Northern America,G,Global,2019,PT,Percent,2000,70.0,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,150,Europe,,,,Europe and Northern America,G,Global,2019,PT,Percent,2005,73.1,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,150,Europe,,,,Europe and Northern America,G,Global,2019,PT,Percent,2010,76.0,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,150,Europe,,,,Europe and Northern America,G,Global,2019,PT,Percent,2015,78.2,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,150,Europe,,,,Europe and Northern America,G,Global,2019,PT,Percent,2019,79.3,,E,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,156,China,CHN,104.1403375,32.30955217,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2001,96.6,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2000,73.3,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2005,78.0,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2010,83.9,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2016,86.6,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,174,Comoros,COM,43.34234565,-11.66121732,Sub-Saharan Africa,G,Global,2019,PT,Percent,2012,28.8,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,178,Congo,COG,15.22052612,-0.840544119,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,22.9,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,178,Congo,COG,15.22052612,-0.840544119,Sub-Saharan Africa,G,Global,2019,PT,Percent,2012,38.0,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,178,Congo,COG,15.22052612,-0.840544119,Sub-Saharan Africa,G,Global,2019,PT,Percent,2015,43.2,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,180,Democratic Republic of the Congo,COD,23.65496507,-2.877154732,Sub-Saharan Africa,G,Global,2019,PT,Percent,2007,16.1,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,180,Democratic Republic of the Congo,COD,23.65496507,-2.877154732,Sub-Saharan Africa,G,Global,2019,PT,Percent,2010,18.4,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,180,Democratic Republic of the Congo,COD,23.65496507,-2.877154732,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,18.9,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2019,PT,Percent,2011,89.1,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,192,Cuba,CUB,-79.54460144,22.10030366,Latin America and the Caribbean,G,Global,2019,PT,Percent,2011,87.8,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,192,Cuba,CUB,-79.54460144,22.10030366,Latin America and the Caribbean,G,Global,2019,PT,Percent,2014,88.8,,C,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,199,Least Developed Countries (LDCs),,,,,G,Global,2019,PT,Percent,2000,39.1,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,199,Least Developed Countries (LDCs),,,,,G,Global,2019,PT,Percent,2005,44.5,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,199,Least Developed Countries (LDCs),,,,,G,Global,2019,PT,Percent,2010,50.0,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,199,Least Developed Countries (LDCs),,,,,G,Global,2019,PT,Percent,2015,55.0,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,199,Least Developed Countries (LDCs),,,,,G,Global,2019,PT,Percent,2019,57.6,,E,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2019,PT,Percent,2000,35.9,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,40.4,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2019,PT,Percent,2010,45.6,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2019,PT,Percent,2015,51.6,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2019,PT,Percent,2019,54.7,,E,,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,203,Czechia,CZE,15.33151382,49.73913871,Europe and Northern America,G,Global,2019,PT,Percent,2005,79.4,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Data pertain to a non-standard age or marital status group.,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,203,Czechia,CZE,15.33151382,49.73913871,Europe and Northern America,G,Global,2019,PT,Percent,2008,85.7,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Data pertain to a non-standard age or marital status group. Data pertain to women with a partner.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2019,PT,Percent,2001,17.1,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2019,PT,Percent,2006,17.5,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2019,PT,Percent,2012,22.4,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,25.9,,C,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2019,PT,Percent,2018,25.9,,C,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,True
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,21,Northern America,,,,Europe and Northern America,G,Global,2019,PT,Percent,2000,81.4,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,21,Northern America,,,,Europe and Northern America,G,Global,2019,PT,Percent,2005,82.0,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,21,Northern America,,,,Europe and Northern America,G,Global,2019,PT,Percent,2010,82.6,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,21,Northern America,,,,Europe and Northern America,G,Global,2019,PT,Percent,2015,82.9,,E,,False
III.1,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,97572e77,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,21,Northern America,,,,Europe and Northern America,G,Global,2019,PT,Percent,2019,83.4,,E,,True
