INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T49__PHY+SEX,OBS_VALUE__F__Y30T34__PHY+SEX,OBS_VALUE__F__Y35T39__PHY+SEX,OBS_VALUE__F__Y40T44__PHY+SEX,OBS_VALUE__F__Y20T24__PHY+SEX,OBS_VALUE__F__Y45T49__PHY+SEX,OBS_VALUE__F__Y15T19__PHY+SEX,OBS_VALUE__F__Y25T29__PHY+SEX,OBS_VALUE__F__Y18T24__PHY+SEX,OBS_VALUE__F__Y15T24__PHY+SEX,OBS_VALUE__F__Y30T39__PHY+SEX,OBS_VALUE__F__Y20T29__PHY+SEX,OBS_VALUE__F__Y40T49__PHY+SEX,OBS_VALUE__F__Y18T49__PHY+SEX,OBS_VALUE__F__Y18T19__PHY+SEX,OBS_VALUE__F__Y25T34__PHY+SEX,OBS_VALUE__F__Y45T59__PHY+SEX,OBS_VALUE__F__Y30T35__PHY+SEX,OBS_VALUE__F__Y35T44__PHY+SEX,OBS_VALUE__F__Y15T44__PHY+SEX,OBS_VALUE__F__Y18T50__PHY+SEX,TIME_DETAIL__F__Y15T49__PHY+SEX,TIME_DETAIL__F__Y30T34__PHY+SEX,TIME_DETAIL__F__Y35T39__PHY+SEX,TIME_DETAIL__F__Y40T44__PHY+SEX,TIME_DETAIL__F__Y20T24__PHY+SEX,TIME_DETAIL__F__Y45T49__PHY+SEX,TIME_DETAIL__F__Y15T19__PHY+SEX,TIME_DETAIL__F__Y25T29__PHY+SEX,TIME_DETAIL__F__Y18T24__PHY+SEX,TIME_DETAIL__F__Y15T24__PHY+SEX,TIME_DETAIL__F__Y30T39__PHY+SEX,TIME_DETAIL__F__Y20T29__PHY+SEX,TIME_DETAIL__F__Y40T49__PHY+SEX,TIME_DETAIL__F__Y18T49__PHY+SEX,TIME_DETAIL__F__Y18T19__PHY+SEX,TIME_DETAIL__F__Y25T34__PHY+SEX,TIME_DETAIL__F__Y45T59__PHY+SEX,TIME_DETAIL__F__Y30T35__PHY+SEX,TIME_DETAIL__F__Y35T44__PHY+SEX,TIME_DETAIL__F__Y15T44__PHY+SEX,TIME_DETAIL__F__Y18T50__PHY+SEX,NATURE__F__Y15T49__PHY+SEX,NATURE__F__Y30T34__PHY+SEX,NATURE__F__Y35T39__PHY+SEX,NATURE__F__Y40T44__PHY+SEX,NATURE__F__Y20T24__PHY+SEX,NATURE__F__Y45T49__PHY+SEX,NATURE__F__Y15T19__PHY+SEX,NATURE__F__Y25T29__PHY+SEX,NATURE__F__Y18T24__PHY+SEX,NATURE__F__Y15T24__PHY+SEX,NATURE__F__Y30T39__PHY+SEX,NATURE__F__Y20T29__PHY+SEX,NATURE__F__Y40T49__PHY+SEX,NATURE__F__Y18T49__PHY+SEX,NATURE__F__Y18T19__PHY+SEX,NATURE__F__Y25T34__PHY+SEX,NATURE__F__Y45T59__PHY+SEX,NATURE__F__Y30T35__PHY+SEX,NATURE__F__Y35T44__PHY+SEX,NATURE__F__Y15T44__PHY+SEX,NATURE__F__Y18T50__PHY+SEX,COMMENT_OBS__F__Y15T49__PHY+SEX,COMMENT_OBS__F__Y30T34__PHY+SEX,COMMENT_OBS__F__Y35T39__PHY+SEX,COMMENT_OBS__F__Y40T44__PHY+SEX,COMMENT_OBS__F__Y20T24__PHY+SEX,COMMENT_OBS__F__Y45T49__PHY+SEX,COMMENT_OBS__F__Y15T19__PHY+SEX,COMMENT_OBS__F__Y25T29__PHY+SEX,COMMENT_OBS__F__Y18T24__PHY+SEX,COMMENT_OBS__F__Y15T24__PHY+SEX,COMMENT_OBS__F__Y30T39__PHY+SEX,COMMENT_OBS__F__Y20T29__PHY+SEX,COMMENT_OBS__F__Y40T49__PHY+SEX,COMMENT_OBS__F__Y18T49__PHY+SEX,COMMENT_OBS__F__Y18T19__PHY+SEX,COMMENT_OBS__F__Y25T34__PHY+SEX,COMMENT_OBS__F__Y45T59__PHY+SEX,COMMENT_OBS__F__Y30T35__PHY+SEX,COMMENT_OBS__F__Y35T44__PHY+SEX,COMMENT_OBS__F__Y15T44__PHY+SEX,COMMENT_OBS__F__Y18T50__PHY+SEX,isLatestValue__F__Y15T49__PHY+SEX,isLatestValue__F__Y30T34__PHY+SEX,isLatestValue__F__Y35T39__PHY+SEX,isLatestValue__F__Y40T44__PHY+SEX,isLatestValue__F__Y20T24__PHY+SEX,isLatestValue__F__Y45T49__PHY+SEX,isLatestValue__F__Y15T19__PHY+SEX,isLatestValue__F__Y25T29__PHY+SEX,isLatestValue__F__Y18T24__PHY+SEX,isLatestValue__F__Y15T24__PHY+SEX,isLatestValue__F__Y30T39__PHY+SEX,isLatestValue__F__Y20T29__PHY+SEX,isLatestValue__F__Y40T49__PHY+SEX,isLatestValue__F__Y18T49__PHY+SEX,isLatestValue__F__Y18T19__PHY+SEX,isLatestValue__F__Y25T34__PHY+SEX,isLatestValue__F__Y45T59__PHY+SEX,isLatestValue__F__Y30T35__PHY+SEX,isLatestValue__F__Y35T44__PHY+SEX,isLatestValue__F__Y15T44__PHY+SEX,isLatestValue__F__Y18T50__PHY+SEX
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,PT,Percent,2015,17.5,19.7,18.8,13.1,19.3,14.0,14.5,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",15,Northern Africa,,,,,G,Global,2019,PT,Percent,2017,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on one country with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region.;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",150,Europe,,,,,G,Global,2019,PT,Percent,2017,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on 29 countries with a population coverage of 74 per cent;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2015,18.4,19.5,17.2,14.9,24.9,15.1,22.9,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",174,Comoros,COM,43.34234565,-11.66121732,Sub-Saharan Africa,G,Global,2019,PT,Percent,2012,4.9,4.8,3.3,2.5,7.7,6.0,3.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",180,Democratic Republic of the Congo,COD,23.65496507,-2.877154732,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,36.8,38.4,30.1,29.8,41.5,27.7,36.4,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",184,Cook Islands,COK,-159.7711391,-21.22696458,"Oceania, exc. Australia and New Zealand",G,Global,2019,PT,Percent,2012,9.4,9.9,9.2,6.2,12.3,6.3,5.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,Based on definition used in the WHO multi-country study on women’s health and domestic violence; women aged 15-64;,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",191,Croatia,HRV,17.95874553,45.45172212,Europe and Northern America,G,Global,2019,PT,Percent,2012,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",196,Cyprus,CYP,33.22285964,35.05659437,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2012,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",199,Least Developed Countries (LDCs),,,,,G,Global,2019,PT,Percent,2017,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on 34 countries with a population coverage of 83 per cent;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",202,Sub-Saharan Africa,,,,,G,Global,2019,PT,Percent,2017,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on 31 countries with a population coverage of 82 per cent;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",203,Czechia,CZE,15.33151382,49.73913871,Europe and Northern America,G,Global,2019,PT,Percent,2012,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,Women aged 18-74; definition of physical and sexual violence differs from the standard;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",208,Denmark,DNK,9.326571283,56.03829721,Europe and Northern America,G,Global,2019,PT,Percent,2012,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",214,Dominican Republic,DOM,-70.49847576,18.89832088,Latin America and the Caribbean,G,Global,2019,PT,Percent,2013,16.0,14.9,15.8,13.4,16.8,13.6,22.3,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
