INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___O,OBS_VALUE___T,OBS_VALUE__F,OBS_VALUE__M,NATURE___O,NATURE___T,NATURE__F,NATURE__M,COMMENT_OBS___O,COMMENT_OBS___T,COMMENT_OBS__F,COMMENT_OBS__M,isLatestValue___O,isLatestValue___T,isLatestValue__F,isLatestValue__M
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2010,,63.5,56.9,66.4,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2011,,63.7,56.3,66.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2013,,62.6,56.5,65.6,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2014,,60.9,52.7,64.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2015,,61.6,54.4,65.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2016,,62.1,55.0,65.7,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2017,,60.8,54.9,63.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2021,PT,Percent,2018,,60.2,51.3,64.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2019,,44.1,35.3,46.7,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2021,PT,Percent,2018,,90.1,96.7,85.0,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2019,,63.2,50.9,65.9,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",150,Europe,,,,Europe and Northern America,G,Global,2021,PT,Percent,2019,,17.4,17.6,17.2,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2017,,63.8,64.6,63.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2018,,27.7,29.9,25.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2021,PT,Percent,2019,,27.8,29.7,26.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2006,,69.2,70.3,68.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2007,,65.7,64.9,66.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2008,,61.5,63.3,59.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2009,,63.7,66.4,61.4,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2010,,63.0,65.9,60.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2011,,62.2,65.4,59.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2012,,61.6,65.2,58.6,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2013,,60.0,63.2,57.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2014,,58.3,61.6,55.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2015,,58.2,61.1,55.6,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2016,,57.4,60.0,55.1,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2017,,56.8,59.3,54.6,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2018,,57.3,59.3,55.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2021,PT,Percent,2019,,57.3,59.7,55.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",174,Comoros,COM,43.34234565,-11.66121732,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,,93.4,93.4,93.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",178,Congo,COG,15.22052612,-0.840544119,Sub-Saharan Africa,G,Global,2021,PT,Percent,2009,,85.0,82.2,88.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",180,Democratic Republic of the Congo,COD,23.65496507,-2.877154732,Sub-Saharan Africa,G,Global,2021,PT,Percent,2005,,96.3,97.9,95.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",180,Democratic Republic of the Congo,COD,23.65496507,-2.877154732,Sub-Saharan Africa,G,Global,2021,PT,Percent,2012,,93.9,96.3,92.4,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",184,Cook Islands,COK,-159.7711391,-21.22696458,"Oceania, exc. Australia and New Zealand",G,Global,2021,PT,Percent,2019,,27.7,29.9,25.7,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2010,,35.3,40.2,31.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2011,,32.8,37.2,29.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2012,,35.3,41.5,30.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2013,,37.3,43.6,32.8,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2014,,36.9,42.9,32.7,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2015,,37.4,43.6,33.0,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2016,,35.8,39.7,33.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2017,,35.4,40.0,32.4,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2018,,36.0,42.7,31.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2021,PT,Percent,2019,,36.8,42.7,32.6,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",199,Least Developed Countries (LDCs),,,,,G,Global,2021,PT,Percent,2019,,80.1,83.1,78.7,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2021,PT,Percent,2019,,74.3,79.9,69.2,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",204,Benin,BEN,2.339933594,9.65401646,Sub-Saharan Africa,G,Global,2021,PT,Percent,2011,,94.5,97.7,90.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",21,Northern America,,,,Europe and Northern America,G,Global,2021,PT,Percent,2019,,18.8,18.9,18.7,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",214,Dominican Republic,DOM,-70.49847576,18.89832088,Latin America and the Caribbean,G,Global,2021,PT,Percent,2000,,90.6,93.9,88.5,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
